date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:16	20072/20072	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-4e68%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/company/Partner.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/company/Partner.svg	(from https://easebuzz.in/)
14:42:16	172365/172365	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:12%20GMT	https://easebuzz.in/online-store/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/online-store/index.html	(from https://easebuzz.in/)
14:42:16	19553/19553	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-4c61%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/company/Contactus.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/company/Contactus.svg	(from https://easebuzz.in/)
14:42:16	3069/3069	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22649a8ae9-bfd%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/company/customer_stories.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/company/customer_stories.svg	(from https://easebuzz.in/)
14:42:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202023%2009:12:13%20GMT	https://easebuzz.in/use-cases/saas-and-erp	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/use-cases/saas-and-erp	(from https://easebuzz.in/)
14:42:17	154228/154228	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:13%20GMT	https://easebuzz.in/international-payment-gateway/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/international-payment-gateway/index.html	(from https://easebuzz.in/)
14:42:17	5368/5368	---M--	200	added ('OK')	image/png	etag:%226305f7ae-14f8%22	https://easebuzz.in/static/base/assets_aug_2021/img/home/whatwedo/Shopify_logo.png	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/home/whatwedo/Shopify_logo.png	(from https://easebuzz.in/)
14:42:17	6536/6536	---M--	200	added ('OK')	image/png	etag:%226305f7ae-1988%22	https://easebuzz.in/static/base/assets_aug_2021/img/home/whatwedo/tally_logo.png	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/home/whatwedo/tally_logo.png	(from https://easebuzz.in/)
14:42:17	81921/81921	---M--	200	added ('OK')	image/png	etag:%22654b7287-14001%22	https://easebuzz.in/static/base/assets_aug_2021/img/easebuzz/diwali_2023/mobile-light.png	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/easebuzz/diwali_2023/mobile-light.png	(from https://easebuzz.in/)
14:42:18	291674/291674	---M--	200	added ('OK')	image/png	etag:%22654b7287-4735a%22	https://easebuzz.in/static/base/assets_aug_2021/img/easebuzz/diwali_2023/header-image.png	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/easebuzz/diwali_2023/header-image.png	(from https://easebuzz.in/)
14:42:18	4590/4590	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22651d6340-11ee%22	https://easebuzz.in/static/base/assets_aug_2021/img/home/whatwedo/zoho_new_logo.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/home/whatwedo/zoho_new_logo.svg	(from https://easebuzz.in/)
14:42:18	1308/1308	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22654a4c6a-51c%22	https://easebuzz.in/static/base/assets_aug_2021/img/home/whatwedo/wix_logo.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/home/whatwedo/wix_logo.svg	(from https://easebuzz.in/)
14:42:18	175293/175293	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:14%20GMT	https://easebuzz.in/easy-collect/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/easy-collect/index.html	(from https://easebuzz.in/)
14:42:18	296217/296217	---M--	200	added ('OK')	image/png	etag:%226447d067-48519%22	https://easebuzz.in/static/base/assets_aug_2021/img/home/homepage_new/accept_payments/accept_payment.png	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/home/homepage_new/accept_payments/accept_payment.png	(from https://easebuzz.in/)
14:42:19	2001/2001	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226447d067-7d1%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/instacollect.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/instacollect.svg	(from https://easebuzz.in/)
14:42:19	212038/212038	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:15%20GMT	https://easebuzz.in/feesbuzz/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/feesbuzz/index.html	(from https://easebuzz.in/)
14:42:19	316124/316124	---M--	200	added ('OK')	image/png	etag:%226447d067-4d2dc%22	https://easebuzz.in/static/base/assets_aug_2021/img/home/homepage_new/accept_payments/payment_plus.png	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/home/homepage_new/accept_payments/payment_plus.png	(from https://easebuzz.in/)
14:42:19	164812/164812	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:16%20GMT	https://easebuzz.in/forms/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/forms/index.html	(from https://easebuzz.in/)
14:42:20	1981/1981	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226447d067-7bd%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/Neo_Icon_small.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/Neo_Icon_small.svg	(from https://easebuzz.in/)
14:42:20	173167/173167	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:16%20GMT	https://easebuzz.in/smartbilling/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/smartbilling/index.html	(from https://easebuzz.in/)
14:42:20	282185/282185	---M--	200	added ('OK')	image/png	etag:%226447d067-44e49%22	https://easebuzz.in/static/base/assets_aug_2021/img/home/homepage_new/accept_payments/buisness_banking.png	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/home/homepage_new/accept_payments/buisness_banking.png	(from https://easebuzz.in/)
